,tips_%,total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number
0,5.9446733372572105,16.99,1.01,Female,No,Sun,Dinner,2,8.49,Christy Cunningham,3560325168603410
1,16.054158607350097,10.34,1.66,Male,No,Sun,Dinner,3,3.45,Douglas Tucker,4478071379779230
2,16.658733936220845,21.01,3.5,Male,No,Sun,Dinner,3,7.0,Travis Walters,6011812112971322
3,13.97804054054054,23.68,3.31,Male,No,Sun,Dinner,2,11.84,Nathaniel Harris,4676137647685994
4,14.680764538430255,24.59,3.61,Female,No,Sun,Dinner,4,6.15,Tonya Carter,4832732618637221
5,18.62396204033215,25.29,4.71,Male,No,Sun,Dinner,4,6.32,Erik Smith,213140353657882
6,22.80501710376283,8.77,2.0,Male,No,Sun,Dinner,2,4.38,Kristopher Johnson,2223727524230344
7,11.607142857142858,26.88,3.12,Male,No,Sun,Dinner,4,6.72,Robert Buck,3514785077705092
8,13.031914893617023,15.04,1.96,Male,No,Sun,Dinner,2,7.52,Joseph Mcdonald,3522866365840377
9,21.853856562922868,14.78,3.23,Male,No,Sun,Dinner,2,7.39,Jerome Abbott,3532124519049786
10,16.65043816942551,10.27,1.71,Male,No,Sun,Dinner,2,5.14,William Riley,566287581219
11,14.180374361883155,35.26,5.0,Female,No,Sun,Dinner,4,8.82,Diane Macias,4577817359320969
12,10.181582360570687,15.42,1.57,Male,No,Sun,Dinner,2,7.71,Chad Harrington,577040572932
13,16.277807921866522,18.43,3.0,Male,No,Sun,Dinner,4,4.61,Joshua Jones,6011163105616890
14,20.364126770060686,14.83,3.02,Female,No,Sun,Dinner,2,7.42,Vanessa Jones,30016702287574
15,18.164967562557923,21.58,3.92,Male,No,Sun,Dinner,2,10.79,Matthew Reilly,180073029785069
16,16.16650532429816,10.33,1.67,Female,No,Sun,Dinner,3,3.44,Elizabeth Foster,4240025044626033
17,22.774708410067525,16.29,3.71,Male,No,Sun,Dinner,3,5.43,John Pittman,6521340257218708
18,20.624631703005306,16.97,3.5,Female,No,Sun,Dinner,3,5.66,Laura Martinez,30422275171379
19,16.222760290556902,20.65,3.35,Male,No,Sat,Dinner,3,6.88,Timothy Oneal,6568069240986485
20,22.767857142857142,17.92,4.08,Male,No,Sat,Dinner,2,8.96,Thomas Rice,4403296224639756
21,13.553474618038445,20.29,2.75,Female,No,Sat,Dinner,2,10.14,Natalie Gardner,5448125351489749
22,14.140773620798985,15.77,2.23,Female,No,Sat,Dinner,2,7.88,Ashley Shelton,3524119516293213
23,19.228817858954844,39.42,7.58,Male,No,Sat,Dinner,4,9.86,Lance Peterson,3542584061609808
24,16.044399596367306,19.82,3.18,Male,No,Sat,Dinner,2,9.91,Christopher Ross,36739148167928
25,13.138686131386862,17.81,2.34,Male,No,Sat,Dinner,4,4.45,Robert Perkins,30502930499388
26,14.958863126402393,13.37,2.0,Male,No,Sat,Dinner,2,6.68,Kyle Avery,6531339539615499
27,15.760441292356187,12.69,2.0,Male,No,Sat,Dinner,2,6.34,Patrick Barber,30155551880343
28,19.81566820276498,21.7,4.3,Male,No,Sat,Dinner,2,10.85,David Collier,5529694315416009
29,15.267175572519085,19.65,3.0,Female,No,Sat,Dinner,2,9.82,Melinda Murphy,5489272944576051
30,15.18324607329843,9.55,1.45,Male,No,Sat,Dinner,2,4.78,Grant Hall,30196517521548
31,13.623978201634875,18.35,2.5,Male,No,Sat,Dinner,4,4.59,Danny Santiago,630415546013
32,19.9203187250996,15.06,3.0,Female,No,Sat,Dinner,2,7.53,Amanda Wilson,213186304291560
33,11.841469308844852,20.69,2.45,Female,No,Sat,Dinner,4,5.17,Amber Francis,377742985258914
34,18.391451068616423,17.78,3.27,Male,No,Sat,Dinner,2,8.89,Jacob Castillo,3551492000704805
35,14.962593516209477,24.06,3.6,Male,No,Sat,Dinner,3,8.02,Joseph Mullins,5519770449260299
36,12.262415695892091,16.31,2.0,Male,No,Sat,Dinner,3,5.44,William Ford,3527691170179398
37,18.13349084465446,16.93,3.07,Female,No,Sat,Dinner,3,5.64,Erin Lewis,5161695527390786
38,12.359550561797752,18.69,2.31,Male,No,Sat,Dinner,3,6.23,Brandon Bradley,4427601595688633
39,15.98976654940838,31.27,5.0,Male,No,Sat,Dinner,3,10.42,Mr. Brandon Berry,6011525851069856
40,13.965087281795514,16.04,2.24,Male,No,Sat,Dinner,3,5.35,Adam Edwards,3544447755679420
41,14.547537227949597,17.46,2.54,Male,No,Sun,Dinner,2,8.73,David Boyer,3536678244278149
42,21.951219512195124,13.94,3.06,Male,No,Sun,Dinner,2,6.97,Bryan Brown,36231182760859
43,13.636363636363638,9.68,1.32,Male,No,Sun,Dinner,2,4.84,Christopher Spears,4387671121369212
44,18.421052631578945,30.4,5.6,Male,No,Sun,Dinner,4,7.6,Todd Cooper,503846761263
45,16.402405686167302,18.29,3.0,Male,No,Sun,Dinner,2,9.14,Richard Fitzgerald,375156610762053
46,22.492127755285647,22.23,5.0,Male,No,Sun,Dinner,2,11.12,Joshua Gilmore,4292072734899
47,18.51851851851852,32.4,6.0,Male,No,Sun,Dinner,4,8.1,James Barnes,3552002592874186
48,7.180385288966725,28.55,2.05,Male,No,Sun,Dinner,3,9.52,Austin Fisher,6011481668986587
49,16.629711751662974,18.04,3.0,Male,No,Sun,Dinner,2,9.02,William Roth,6573923967142503
50,19.936204146730464,12.54,2.5,Male,No,Sun,Dinner,2,6.27,Jeremiah Neal,2225400829691416
51,25.26724975704568,10.29,2.6,Female,No,Sun,Dinner,2,5.14,Jessica Ibarra,4999759463713
52,14.938236139040505,34.81,5.2,Female,No,Sun,Dinner,4,8.7,Emily Daniel,4291280793094374
53,15.694164989939638,9.94,1.56,Male,No,Sun,Dinner,2,4.97,Curtis Morgan,4628628020417301
54,16.97965571205008,25.56,4.34,Male,No,Sun,Dinner,4,6.39,Ronald Owens,6569607991983380
55,18.009235505387377,19.49,3.51,Male,No,Sun,Dinner,2,9.74,Michael Hamilton,6502227786581768
56,7.892659826361484,38.01,3.0,Male,Yes,Sat,Dinner,4,9.5,James Christensen DDS,349793629453226
57,5.679666792881484,26.41,1.5,Female,No,Sat,Dinner,2,13.2,Melody Simon,4745394421258160
58,15.658362989323843,11.24,1.76,Male,Yes,Sat,Dinner,2,5.62,Troy Guerrero,3560782621035582
59,13.942407292314066,48.27,6.73,Male,No,Sat,Dinner,4,12.07,Brian Ortiz,6596453823950595
60,15.82060128141942,20.29,3.21,Male,Yes,Sat,Dinner,2,10.14,Anthony Mclean,347614304015027
61,14.482259232440258,13.81,2.0,Male,Yes,Sat,Dinner,2,6.9,Ryan Hernandez,4766834726806
62,17.96733212341198,11.02,1.98,Male,Yes,Sat,Dinner,2,5.51,Joseph Hart,180046232326178
63,20.55768179332969,18.29,3.76,Male,Yes,Sat,Dinner,4,4.57,Chad Hart,580171498976
64,15.008527572484368,17.59,2.64,Male,No,Sat,Dinner,3,5.86,Michael Johnson,2222114458088108
65,15.687250996015937,20.08,3.15,Male,No,Sat,Dinner,3,6.69,Justin Dixon,180021262464926
